ID;NOMBRE;DIRECCION;CONTACTO
1;Leandra Anna Malo Alba;7943 S. Fifth Street;3511111111
2;Severo Granados Iglesia;77 Lyme Street;3511111112
3;Lucho Andreu Amat;9448 Fairfield St.;3511111113
4;Matías Mauricio Castillo Barrera;8143 College St.;3511111114
5;Mauricio Guijarro Castelló;9893 W. Vale Ave.;3511111115
6;Isaura Leyre Avilés Pelayo;8094 Albany Drive;3511111116
7;Soraya Morera-Lago;9001 Creek Street;3511111117
8;Victoriano Tapia-Cabanillas;57 Green Drive;3511111118
9;Nidia Saez Campoy;86 Surrey St.;3511111119
10;Teófila Villanueva Molina;8728 Boston Street;3511111120
11;Trini de Alberdi;45 Heritage Ave.;3511111121
12;Dani Baena;9334 Hillside Street;3511111122
13;Angelina de Arregui;611 Academy Street;3511111123
14;Samuel de Carranza;7201 Mill Street;3511111124
15;Jacinta Montenegro Garcés;59 Ridgewood Ave.;3511111125
16;Lisandro Delgado Nadal;270 West Green Lake St.;3511111126
17;Samanta Manjón Godoy;9481 S. Chestnut St.;3511111127
18;Albano Teodosio Cañete Rosa;7 N. Annadale Street;3511111128
19;Abel Villanueva;88 Pheasant Rd.;3511111129
20;Bienvenida Pulido Cózar;8 Galvin Street;3511111130
